MJD,mag,mag_err
60450.981579999905,13.579,0.015
60450.98215899989,13.549,0.015
60451.98193900008,13.621,0.034
60451.98251699982,13.625,0.029
60452.98116300022,13.628,0.020
60452.981730000116,13.614,0.021
60453.98088499997,13.648,0.016
60453.9814530001,13.639,0.016
60454.98045699997,13.674,0.016
60454.98102399986,13.669,0.016
60455.98047999991,13.675,0.014
60455.981046999805,13.68,0.015
60456.98072300013,13.73,0.015
60456.9812909998,13.715,0.015
60457.979993999936,13.75,0.015
60457.98056099983,13.747,0.014
60458.98030700022,13.804,0.015
60458.98087400012,13.786,0.015
60459.98012199998,13.809,0.015
60459.98070000019,13.85,0.015
60460.980086999945,13.835,0.015
60460.98065399984,13.867,0.015
60461.97984400019,13.856,0.016
60461.980411000084,13.828,0.016
60462.977101000026,13.841,0.016
60462.97766799992,13.843,0.016
60463.976648999844,13.869,0.015
60463.9772160002,13.853,0.016
60464.97679999983,13.894,0.016
60464.97737800004,13.887,0.016
60465.976648999844,13.936,0.017
60465.97722799983,13.942,0.017
60466.512920000125,13.778,0.011
60466.97677699989,13.937,0.017
60466.9773550001,13.911,0.017
60470.97682299977,14.0,0.020
60470.97740200022,14.02,0.020
60471.971220999956,13.971,0.018
60471.97178799985,13.975,0.018
60472.971117000096,14.036,0.019
60472.97169600008,14.018,0.019
60473.964439,14.006,0.023
60473.9650059999,14.057,0.024
60474.47860000003,13.886,0.013
60474.96448499989,14.016,0.018
60474.96506399987,14.055,0.019
60475.964461999945,14.046,0.018
60475.96502899984,14.062,0.019
60476.971777,14.11,0.020
60476.97234399989,14.108,0.020
60477.971301999874,14.138,0.020
60477.97188099986,14.147,0.021
60478.4620099999,13.959,0.019
60478.97179999994,14.122,0.021
60478.97237800015,14.181,0.022
60479.50117000006,13.901,0.044
60481.456499999855,13.758,0.033
60481.970677000005,14.144,0.023
60481.9712439999,14.2,0.023
60482.97060800018,14.168,0.024
60482.97117500007,14.22,0.024
60483.9719039998,14.117,0.022
60483.97248299979,14.203,0.021
60485.971313999966,14.24,0.022
60485.97188099986,14.313,0.025
60486.9709780002,14.306,0.021
60486.971545000095,14.285,0.021
60487.97169600008,14.181,0.046
60487.972262999974,14.238,0.045
60488.97296900023,14.254,0.025
60488.97353600012,14.263,0.025
60489.97264500009,14.253,0.025
60489.97321199998,14.263,0.025
60490.97319999989,14.351,0.023
60490.973766999785,14.322,0.024
60491.972887999844,14.429,0.023
60491.9734550002,14.41,0.024
60492.9729220001,14.435,0.026
60492.97348999977,14.447,0.025
60493.48797000013,14.271,0.025
60493.97056100005,14.507,0.026
60493.97114000004,14.44,0.026
60494.970259999856,14.49,0.027
60494.97082799999,14.463,0.025
60495.97085099993,14.535,0.028
60495.97142900014,14.501,0.026
60496.96829300001,14.575,0.028
60496.968859999906,14.595,0.029
60497.968328000046,14.577,0.027
60497.96889499994,14.555,0.027
60498.96852400014,14.571,0.029
60498.96910300013,14.58,0.029
60499.96431099996,14.567,0.029
60499.964889999945,14.586,0.032
60500.96451999992,14.683,0.048
60500.965086999815,14.652,0.046
