MJD,mag,uncert
60093.07863999996,11.055,0.004
60093.07883000001,11.06,0.004
60093.07902000006,11.064,0.004
60093.07920000004,11.05,0.004
60093.079390000086,11.06,0.004
60093.07957000006,11.065,0.004
60093.07976000011,11.054,0.004
60093.07994000008,11.065,0.004
60093.08013000013,11.055,0.004
60093.08032000018,11.068,0.004
60093.08050000016,11.061,0.004
60093.080690000206,11.055,0.004
60093.08087000018,11.064,0.004
60093.08106000023,11.059,0.004
60093.0812400002,11.058,0.004
60093.08142999979,11.054,0.004
60093.08161999984,11.05,0.004
60093.08179999981,11.06,0.004
60093.08198999986,11.061,0.004
60093.082169999834,11.066,0.004
60093.082359999884,11.055,0.004
60093.08253999986,11.062,0.004
60093.08272999991,11.068,0.004
60093.08291999996,11.062,0.004
60093.08309999993,11.066,0.004
60093.08328999998,11.063,0.004
60093.08348000003,11.057,0.004
60093.083660000004,11.064,0.004
60093.083850000054,11.058,0.004
60093.0840400001,11.063,0.004
60093.08422000008,11.059,0.004
60093.08441000013,11.056,0.004
60093.084679999854,11.102,0.003
60093.0850399998,11.081,0.003
60093.085400000215,11.084,0.003
60093.08576000016,11.089,0.003
60093.08612000011,11.113,0.003
60093.086480000056,11.098,0.003
60093.08684,11.125,0.003
60093.08719999995,11.098,0.003
60093.0875599999,11.094,0.003
60093.087919999845,11.129,0.003
60093.08827999979,11.11,0.003
60093.088640000205,11.096,0.003
60093.08900000015,11.099,0.003
60093.0893600001,11.133,0.003
60093.08972000005,11.112,0.003
60093.090079999994,11.117,0.003
60093.09043999994,11.128,0.003
60093.09079999989,11.1,0.003
60093.091159999836,11.104,0.003
60093.09152999986,11.09,0.003
60093.09188999981,11.105,0.003
60093.09225000022,11.111,0.003
60093.09261000017,11.123,0.003
60093.092970000114,11.11,0.003
60093.09333000006,11.094,0.003
60093.09369000001,11.118,0.003
60093.094049999956,11.108,0.003
60093.0944099999,11.095,0.003
60093.09476999985,11.112,0.003
60093.0951299998,11.135,0.003
60093.09549000021,11.102,0.003
60093.09585000016,11.095,0.003
60093.096210000105,11.101,0.003
60093.09657000005,11.076,0.003
60093.09693,11.088,0.003
60093.09728999995,11.101,0.003
60093.097649999894,11.082,0.003
60093.09800999984,11.082,0.003
60093.09836999979,11.068,0.003
60093.0987300002,11.076,0.003
60093.14811300021,11.192,0.014
60093.14972200012,11.201,0.006
60093.15130800009,11.215,0.006
60093.15289400006,11.174,0.007
60093.154478999786,11.204,0.007
60093.15605300013,11.196,0.007
60093.1576390001,11.196,0.007
60093.15922500007,11.221,0.006
60093.1608099998,11.188,0.007
60093.16239600023,11.181,0.006
60093.16398099996,11.221,0.006
60093.16556699993,11.201,0.007
60093.16716400022,11.231,0.007
60093.168750000186,11.212,0.007
60093.170336000156,11.187,0.006
60093.171920999885,11.224,0.007
60093.173518999945,11.212,0.006
