JD;mag;uncert;band;by;comCode;compStar1;compStar2;charts;comment;transformed;airmass;val;cmag;kmag;starName;obsAffil;mtype;adsRef;digitizer;credit;obsID;fainterThan;obsType;software;obsName;obsCountry
2460111.77087;11.637;0.003;V;SJJB;;ENSEMBLE;117;X28721BAT;M101_SN 2023IXF_VPHOT_JJSANBORN|CMAGINS=-7.361|CREFMAG=12.297|ENSTYPE=1|KMAG=11.730|KMAGINS=-7.929|KREFERR=0.040|KREFMAG=11.735|VMAGINS=-8.021;0;1.193;Z;;11.730;SN 2023IXF;AAVSO;STD;;;;1299248091;0;CCD;VPHOT 4.0.34;Sanborn, Jason;US
2460111.77331;11.328;0.004;R;SJJB;;ENSEMBLE;117;X28721BCB;M101_SN2023IXF_RPHOT_JJSANBORN|CMAGINS=-6.820|CREFMAG=12.358|ENSTYPE=1|KMAG=11.358|KMAGINS=-7.820|KREFERR=0.048|KREFMAG=11.359|VMAGINS=-7.851;0;1.200;Z;;11.358;SN 2023IXF;AAVSO;STD;;;;1299248110;0;CCD;VPHOT 4.0.34;Sanborn, Jason;US
2460111.78162;11.640;0.003;V;SJJB;;ENSEMBLE;117;X28721BAT;M101_SN 2023IXF_VPHOT_JJSANBORN|CMAGINS=-7.375|CREFMAG=12.297|ENSTYPE=1|KMAG=11.730|KMAGINS=-7.942|KREFERR=0.040|KREFMAG=11.735|VMAGINS=-8.032;0;1.224;Z;;11.730;SN 2023IXF;AAVSO;STD;;;;1299248092;0;CCD;VPHOT 4.0.34;Sanborn, Jason;US
2460111.78410;11.320;0.004;R;SJJB;;ENSEMBLE;117;X28721BCB;M101_SN2023IXF_RPHOT_JJSANBORN|CMAGINS=-6.805|CREFMAG=12.358|ENSTYPE=1|KMAG=11.342|KMAGINS=-7.821|KREFERR=0.048|KREFMAG=11.359|VMAGINS=-7.843;0;1.232;Z;;11.342;SN 2023IXF;AAVSO;STD;;;;1299248111;0;CCD;VPHOT 4.0.34;Sanborn, Jason;US
2460111.78725;12.025;0.006;B;SJJB;;ENSEMBLE;117;X28721AZE;M101_SN2023IXF_BPHOT_JJSANBORN|CMAGINS=-6.027|CREFMAG=12.383|ENSTYPE=1|KMAG=12.275|KMAGINS=-6.134|KREFERR=0.057|KREFMAG=12.268|VMAGINS=-6.384;0;1.242;Z;;12.275;SN 2023IXF;AAVSO;STD;;;;1299248074;0;CCD;VPHOT 4.0.34;Sanborn, Jason;US
2460111.79784;12.031;0.006;B;SJJB;;ENSEMBLE;117;X28721AZE;M101_SN2023IXF_BPHOT_JJSANBORN|CMAGINS=-5.996|CREFMAG=12.383|ENSTYPE=1|KMAG=12.268|KMAGINS=-6.111|KREFERR=0.057|KREFMAG=12.268|VMAGINS=-6.348;0;1.280;Z;;12.268;SN 2023IXF;AAVSO;STD;;;;1299248075;0;CCD;VPHOT 4.0.34;Sanborn, Jason;US
2460111.80285;11.650;0.004;V;SJJB;;ENSEMBLE;117;X28721BAT;M101_SN 2023IXF_VPHOT_JJSANBORN|CMAGINS=-7.251|CREFMAG=12.297|ENSTYPE=1|KMAG=11.747|KMAGINS=-7.801|KREFERR=0.040|KREFMAG=11.735|VMAGINS=-7.898;0;1.299;Z;;11.747;SN 2023IXF;AAVSO;STD;;;;1299248093;0;CCD;VPHOT 4.0.34;Sanborn, Jason;US
2460111.81333;11.639;0.004;V;SJJB;;ENSEMBLE;117;X28721BAT;M101_SN 2023IXF_VPHOT_JJSANBORN|CMAGINS=-7.293|CREFMAG=12.297|ENSTYPE=1|KMAG=11.732|KMAGINS=-7.858|KREFERR=0.040|KREFMAG=11.735|VMAGINS=-7.952;0;1.343;Z;;11.732;SN 2023IXF;AAVSO;STD;;;;1299248094;0;CCD;VPHOT 4.0.34;Sanborn, Jason;US
2460111.85626;11.640;0.005;V;SJJB;;ENSEMBLE;117;X28721BAT;M101_SN 2023IXF_VPHOT_JJSANBORN|CMAGINS=-6.762|CREFMAG=12.297|ENSTYPE=1|KMAG=11.746|KMAGINS=-7.313|KREFERR=0.040|KREFMAG=11.735|VMAGINS=-7.418;0;1.588;Z;;11.746;SN 2023IXF;AAVSO;STD;;;;1299248095;0;CCD;VPHOT 4.0.34;Sanborn, Jason;US
2460111.86708;11.632;0.004;V;SJJB;;ENSEMBLE;117;X28721BAT;M101_SN 2023IXF_VPHOT_JJSANBORN|CMAGINS=-7.185|CREFMAG=12.297|ENSTYPE=1|KMAG=11.743|KMAGINS=-7.740|KREFERR=0.040|KREFMAG=11.735|VMAGINS=-7.851;0;1.671;Z;;11.743;SN 2023IXF;AAVSO;STD;;;;1299248096;0;CCD;VPHOT 4.0.34;Sanborn, Jason;US
2460111.86959;11.321;0.004;R;SJJB;;ENSEMBLE;117;X28721BCB;M101_SN2023IXF_RPHOT_JJSANBORN|CMAGINS=-6.714|CREFMAG=12.358|ENSTYPE=1|KMAG=11.345|KMAGINS=-7.727|KREFERR=0.048|KREFMAG=11.359|VMAGINS=-7.752;0;1.692;Z;;11.345;SN 2023IXF;AAVSO;STD;;;;1299248112;0;CCD;VPHOT 4.0.34;Sanborn, Jason;US
2460111.87274;12.019;0.007;B;SJJB;;ENSEMBLE;117;X28721AZE;M101_SN2023IXF_BPHOT_JJSANBORN|CMAGINS=-5.855|CREFMAG=12.383|ENSTYPE=1|KMAG=12.265|KMAGINS=-5.974|KREFERR=0.057|KREFMAG=12.268|VMAGINS=-6.219;0;1.718;Z;;12.265;SN 2023IXF;AAVSO;STD;;;;1299248076;0;CCD;VPHOT 4.0.34;Sanborn, Jason;US
