MJD,mag,uncert
60088.18276599981,11.08,0.005
60088.18495000014,11.091,0.034
60088.18982100021,11.088,0.005
60088.195115999784,11.074,0.005
60088.20033300016,11.081,0.005
60088.20489999978,11.003,0.011
60088.205537000205,11.074,0.004
60088.21088200016,11.073,0.005
60088.21611799998,11.07,0.005
60088.221346999984,11.068,0.005
60088.227390999906,11.062,0.006
60088.23365999991,11.059,0.006
60088.23971900018,11.064,0.007
60088.24491399992,11.053,0.007
60088.24984099995,11.025,0.010
60088.25523100002,11.018,0.010
60088.26026999997,11.058,0.014
60088.264746999834,11.054,0.013
60088.27205500007,11.002,0.007
60088.29682999989,11.122,0.022
60088.30864599999,11.007,0.030
60088.32452500006,11.037,0.018
60088.34666599985,10.921,0.027
60088.355037999805,11.044,0.015
60088.35960499989,10.989,0.030
60088.384637999814,10.965,0.025
60088.38969099987,11.035,0.012
60088.39373800019,11.086,0.017
60088.399830999784,11.08,0.008
60088.40754200006,11.064,0.006
60088.41230199998,11.074,0.005
60088.41785500012,11.076,0.005
60088.422892999835,11.066,0.005
60088.42917599995,11.071,0.005
60088.43610000005,11.051,0.005
60088.441248000134,11.058,0.005
60088.446618000045,11.072,0.005
60088.451832000166,11.058,0.005
60088.45776099991,11.059,0.005
60088.46418699995,11.062,0.005
60088.47040299978,11.09,0.006
60088.474386000074,11.026,0.017
60088.81498799985,10.968,0.020
60088.81552099995,10.964,0.020
60088.81605299981,10.962,0.020
60088.81658599991,10.961,0.020
60088.81711799977,10.953,0.022
60088.8176500001,10.959,0.021
60088.8181830002,10.954,0.020
60088.81871500006,10.97,0.021
60088.81924800016,10.952,0.021
60088.81978000002,10.955,0.021
60088.83328700019,10.886,0.020
60088.83381900005,10.846,0.021
60088.83435200015,10.871,0.020
60088.83488400001,10.858,0.020
60088.83541700011,10.861,0.020
60088.83594899997,10.852,0.020
60088.85113399988,10.97,0.020
60088.85166699998,10.978,0.016
60088.85219899984,10.982,0.015
60088.85273100017,10.99,0.017
60088.8532639998,10.975,0.016
60088.85379600013,10.984,0.017
60088.85432900023,10.985,0.014
60088.85486100009,10.97,0.017
60088.85539400019,10.983,0.016
60088.85592600005,10.975,0.015
60088.85645799991,10.972,0.017
60088.85699100001,10.974,0.016
60088.85752299987,10.982,0.015
60088.85805599997,10.972,0.016
60088.85858799983,10.983,0.019
60088.859120000154,10.988,0.016
60088.85965299979,10.97,0.017
60088.860185000114,10.97,0.016
60088.860718000215,10.976,0.017
60088.861250000075,10.978,0.015
60088.861781999934,10.988,0.015
60088.862315000035,10.973,0.018
60088.862846999895,10.977,0.015
60088.863379999995,10.974,0.016
60088.863911999855,10.972,0.014
60088.86444400018,10.988,0.016
60088.864976999816,10.969,0.016
60088.86550900014,10.976,0.016
60088.866041999776,10.973,0.016
60088.8665740001,10.984,0.016
60088.86710599996,10.986,0.016
60088.86763900006,10.976,0.016
60088.86817099992,10.972,0.016
60088.86870400002,10.976,0.016
60088.86923599988,10.971,0.016
60088.86976899998,10.977,0.022
60088.87030099984,10.985,0.014
60088.87083300017,10.974,0.015
60088.87135400018,10.972,0.015
60088.87189800013,10.985,0.017
60088.87241900014,10.978,0.015
60088.872951,10.978,0.016
60088.8734840001,10.985,0.017
60088.87401599996,10.972,0.018
60088.87454900006,10.979,0.016
60088.87508099992,10.979,0.018
60088.87561299978,10.979,0.015
60088.87614599988,10.977,0.016
60088.876678000204,10.972,0.015
60088.87721099984,10.972,0.016
60088.92059000023,10.996,0.004
60088.936156999785,11.0,0.002
60088.93761599995,11.004,0.002
60088.93907399988,11.02,0.002
60088.94052099995,11.022,0.002
60088.94197899988,10.975,0.002
60088.943436999805,10.967,0.002
60088.94489599997,10.989,0.002
60088.9463539999,10.973,0.002
60088.947951000184,11.002,0.007
60088.948355999775,11.006,0.020
60088.94874999998,11.035,0.011
60088.94915500004,11.013,0.009
60088.949560000096,11.019,0.004
60088.961749999784,10.96,0.004
60089.08332999982,11.021,0.005
60089.094140000176,11.145,0.006
60089.14546799986,11.045,0.008
60089.1494049998,11.016,0.006
60089.15304999985,11.004,0.004
60089.15703900019,11.012,0.004
60089.16100199986,11.023,0.004
60089.164940000046,11.023,0.003
60089.165550000034,10.978,0.005
60089.16881000018,10.985,0.005
60089.168841999955,11.029,0.004
60089.172069999855,10.985,0.005
60089.17276800005,11.023,0.004
60089.17533,10.993,0.005
60089.17666100012,11.029,0.004
60089.17859000014,10.986,0.005
60089.18066699989,11.021,0.004
60089.18184999982,10.981,0.005
60089.18512000004,10.984,0.005
60089.18628000002,10.96,0.003
60089.18632500013,11.035,0.004
60089.18842000002,10.976,0.005
60089.19115700014,11.015,0.004
60089.19172,10.975,0.005
60089.194980000146,10.983,0.005
60089.19506599987,11.006,0.003
60089.198290000204,11.016,0.002
60089.199016000144,11.018,0.004
60089.20012999978,10.964,0.003
60089.20295999991,11.013,0.004
60089.20688899979,11.006,0.004
60089.210845999885,11.015,0.003
60089.21403999999,10.957,0.003
60089.21477699978,11.007,0.003
60089.218706999905,11.011,0.003
60089.22264100006,11.017,0.004
60089.22475000005,11.043,0.005
60089.22669599997,11.017,0.003
60089.23285300005,11.008,0.003
60089.236823000014,11.004,0.004
60089.24092500005,10.994,0.006
60089.242420000024,10.961,0.003
60089.24500600016,11.003,0.004
60089.24878899986,10.988,0.004
60089.25258600013,10.99,0.005
60089.25632000016,10.959,0.003
60089.256998999976,10.99,0.008
60089.26023299992,11.041,0.011
60089.266253000125,10.984,0.039
60089.2690849998,10.94,0.012
60089.270359999966,10.954,0.003
60089.27267399989,10.973,0.013
60089.2774100001,10.953,0.026
60089.29411000013,11.056,0.016
60089.30254800012,10.8,0.019
60089.31252000015,10.953,0.003
60089.31549800001,11.015,0.016
60089.32661999995,10.964,0.003
60089.34107600013,11.154,0.023
60089.390904999804,10.947,0.007
60089.394921000116,11.017,0.006
60089.39836400002,11.007,0.004
60089.40491699986,10.999,0.005
60089.40919200005,11.028,0.004
60089.412653000094,11.007,0.004
60089.41669999994,11.011,0.004
60089.42227400001,11.012,0.004
60089.427070999984,11.004,0.004
60089.43097299989,11.001,0.004
60089.434851000085,10.999,0.004
60089.438796999864,11.006,0.003
60089.44273700006,11.012,0.004
60089.44664999982,11.0,0.004
60089.45156199997,10.994,0.004
60089.45850400021,11.008,0.004
60089.462385000195,11.005,0.005
60089.466349999886,11.01,0.006
60089.470005999785,10.991,0.005
60089.88193000015,10.964,0.02
60089.91251000017,10.982,0.004
60089.9329400002,11.011,0.002
60089.933310000226,11.031,0.008
60089.93371499982,11.034,0.008
60089.93410900002,11.028,0.032
60089.93439800013,11.002,0.002
60089.93451400008,11.041,0.044
60089.93491900014,11.047,0.032
60089.9353120001,11.056,0.041
60089.935845000204,10.983,0.002
60089.93730300013,11.03,0.002
60089.93876199983,11.036,0.002
60089.94022000022,11.02,0.002
60089.94166699983,11.031,0.002
60089.94312500022,11.038,0.002
60089.973819999956,10.952,0.003
60090.126989999786,10.983,0.002
60090.1362999999,10.975,0.002
60090.14559999993,10.979,0.002
60090.157600000035,10.986,0.005
60090.16086000018,10.986,0.005
60090.1624400001,10.961,0.003
60090.164119999856,10.986,0.005
60090.16738,10.982,0.005
60090.170669999905,10.999,0.005
60090.17393000005,10.98,0.005
60090.17681000009,10.96,0.003
60090.177180000115,10.974,0.005
60090.18043999979,10.981,0.005
60090.183699999936,10.984,0.005
60090.18695,10.98,0.005
60090.19114999985,10.961,0.003
60090.20504999999,10.976,0.011
60090.21977999993,10.957,0.003
60090.2343100002,10.956,0.003
60090.2486200002,10.95,0.003
60090.26316000009,10.955,0.003
60090.305709999986,10.961,0.003
60090.31585999997,10.953,0.077
60090.89149999991,10.915,0.003
60090.8936999999,10.904,0.003
60090.89580000006,10.911,0.003
60090.898000000045,10.919,0.003
60090.90020000003,10.899,0.003
60090.90743699996,10.9186,0.0028
60090.92266000016,10.96,0.003
