MJD,mag,uncert
60098.91635000007,10.772,0.094
60098.930174000096,10.893,0.013
60098.93178200023,10.896,0.021
60099.23883999977,10.802,0.004
60099.25394999981,10.808,0.004
60099.25454000011,10.799,0.004
60099.25503000012,10.816,0.004
60099.25561999995,10.801,0.005
60099.26182000013,10.808,0.005
60099.26232999982,10.803,0.005
60099.26291000005,10.804,0.005
60099.263499999885,10.799,0.005
60099.87667000014,10.822,0.007
60099.87739600008,10.8,0.01
60099.878122000024,10.798,0.007
60099.90259000007,10.849,0.005
60099.92430600012,10.77,0.041
60099.924711000174,10.798,0.071
60099.9255090002,10.768,0.036
60099.926450000145,10.791,0.088
60100.160439999774,10.845,0.035
60100.24507999979,10.825,0.005
60100.24557999987,10.817,0.005
60100.24609000003,10.831,0.005
60100.24659000011,10.807,0.005
60100.252689999994,10.815,0.005
60100.253190000076,10.821,0.005
60100.25369000016,10.795,0.005
60100.25419999985,10.813,0.005
60100.87432700023,10.831,0.007
60100.875053999946,10.824,0.005
60100.875779999886,10.824,0.014
60100.935579999816,10.806,0.090
60100.935624999925,10.912,0.114
60100.93642400019,10.89,0.106
60100.93682899978,10.904,0.097
60100.9790500002,10.878,0.005
60101.90885999985,10.901,0.005
60102.21365999989,10.878,0.024
60102.92657000013,10.863,0.092
60103.11278000008,10.926,0.002
60103.225691,10.934,0.003
60103.247310000006,10.904,0.005
60103.24783999985,10.894,0.005
60103.248399999924,10.897,0.004
60103.24891000008,10.9,0.005
60103.25490000006,10.91,0.005
60103.255410000216,10.892,0.005
60103.25590999983,10.914,0.005
60103.25641999999,10.902,0.005
60103.94080400001,10.89,0.032
60103.94321099995,10.915,0.036
60104.00003999984,10.957,0.005
60104.113280000165,10.948,0.002
60104.408939999994,10.959,0.007
60104.409440000076,10.975,0.007
60104.41045999993,10.943,0.007
60104.87015999993,10.922,0.024
60104.87088599987,10.947,0.022
60104.871613000054,10.963,0.023
60104.874572999775,10.946,0.019
60104.92297000019,10.984,0.005
60105.033476000186,10.962,0.042
60105.03387700021,11.008,0.051
60105.15342999995,11.027,0.010
60105.158650000114,11.021,0.010
60105.16384000005,11.027,0.010
60105.16906000022,11.014,0.010
60105.17425000016,11.021,0.010
60105.17946999986,11.027,0.010
60105.21308000013,10.963,0.023
60105.89455399988,10.98,0.006
60105.89527999982,10.984,0.006
60105.896007,11.003,0.006
60106.100440000184,11.03,0.010
60106.2757199998,10.991,0.007
60106.27622999996,11.016,0.007
60106.276719999965,11.003,0.006
60106.27730000019,10.996,0.006
60106.87057199981,11.022,0.014
60106.87129800022,11.022,0.011
60106.87202400016,11.021,0.014
60107.9019559999,11.036,0.049
60107.902356999926,11.026,0.066
60107.922929999884,11.079,0.005
60108.091920000035,10.952,0.004
