MJD,mag,uncert
60087.32256799983,11.124,0.003
60087.329671999905,11.14,0.003
60087.33311499981,11.133,0.003
60087.337921000086,11.124,0.003
60087.342834999785,11.1,0.004
60087.35034399992,11.104,0.004
60087.356337999925,11.119,0.003
60087.3604319999,11.12,0.003
60087.36494999984,11.122,0.003
60087.3693169998,11.113,0.003
60087.37359600002,11.111,0.003
60087.377902999986,11.116,0.004
60087.38221899979,11.113,0.004
60087.38653700007,11.109,0.003
60087.39081900008,11.12,0.003
60087.39665699983,11.111,0.003
60087.40239599999,11.124,0.003
60087.406591000035,11.124,0.004
60087.41098699998,11.108,0.003
60087.415173999965,11.141,0.004
60087.419704,11.112,0.004
60087.42378999991,11.125,0.003
60087.428183999844,11.117,0.003
60087.43240799988,11.122,0.004
60087.436962000094,11.133,0.003
60087.44302499993,11.107,0.004
60087.447829000186,11.115,0.004
60087.45221999986,11.128,0.004
60087.4565150002,11.128,0.005
60087.46073599998,11.128,0.004
60087.46489199996,11.149,0.006
60087.468847999815,11.083,0.009
60087.85522999987,10.938,0.0068
60087.87337999977,10.832,0.025
60087.88544999994,10.99,0.007
60087.88580999989,10.946,0.071
60087.88626000006,10.973,0.070
60087.886710000224,10.944,0.070
60087.88714999985,10.94,0.070
60087.88760000002,10.965,0.070
60087.88805000018,10.954,0.070
60087.888499999885,10.975,0.070
60087.888939999975,10.941,0.070
60087.88939000014,10.984,0.070
60087.88983999984,10.988,0.070
60087.890279999934,10.927,0.070
60087.8907300001,10.967,0.070
60087.89117000019,10.95,0.070
60087.89161999989,10.94,0.070
60087.89166999981,10.987,0.013
60087.89207000006,10.966,0.070
60087.89251000015,10.931,0.070
60087.89295999985,10.946,0.070
60087.89341000002,10.96,0.069
60087.89385000011,10.953,0.069
60087.89429999981,10.926,0.069
60087.90777899977,10.775,0.027
60087.922890000045,11.682,0.013
60087.9292700002,10.914,0.003
60087.947523000184,10.987,0.002
60087.94898100011,11.003,0.002
60087.950428000186,11.025,0.002
60087.95188699989,11.001,0.002
60087.95334499981,11.007,0.002
60087.954803000204,10.999,0.002
60087.956261999905,11.011,0.002
60087.957708000205,10.995,0.002
60087.960940000135,10.945,0.069
60087.96138999984,10.963,0.069
60087.96182999993,10.959,0.069
60087.962280000094,10.937,0.069
60087.962729999796,10.952,0.069
60087.963169999886,10.944,0.069
60087.96362000005,10.945,0.069
60087.96407000022,10.948,0.069
60087.96451999992,10.954,0.069
60087.96496000001,10.929,0.069
60088.106333999895,11.067,0.030
60088.10781199997,11.075,0.029
60088.10929499986,11.07,0.029
60088.11012999993,10.936,0.002
60088.110776999965,11.074,0.028
60088.112257999834,11.052,0.030
60088.11374199996,11.062,0.030
60088.11499000015,10.92,0.002
60088.11522400007,11.066,0.031
60088.116460000165,10.955,0.032
60088.116702000145,11.078,0.029
60088.11818500003,11.07,0.029
60088.11966900015,11.065,0.030
60088.11981000006,10.952,0.002
60088.12114700023,11.076,0.029
60088.12262499984,11.06,0.031
60088.12410699995,11.077,0.030
60088.12467999989,10.91,0.002
60088.12888999982,11.017,0.001
60088.129490000196,10.956,0.002
60088.14333999995,10.943,0.001
60088.14572199993,11.142,0.006
60088.15078500006,11.149,0.005
60088.15612899978,11.155,0.004
60088.156529999804,10.95,0.001
60088.16123200022,11.149,0.004
60088.16645799996,11.135,0.004
60088.1685899999,10.952,0.001
60088.17171599995,11.154,0.003
60088.17696999991,11.14,0.003
60088.18174999999,10.953,0.042
60088.18276599981,11.14,0.003
