MJD,mag,uncert
60087.17150000017,11.11,0.050
60087.172410000116,11.066,0.050
60087.172799999826,11.115,0.002
60087.17332000006,11.162,0.050
60087.17424000008,11.123,0.050
60087.175071999896,11.113,0.003
60087.175150000025,11.086,0.050
60087.175629999954,11.13,0.002
60087.176070000045,11.117,0.050
60087.17697999999,11.121,0.050
60087.17790000001,11.125,0.050
60087.178390000015,11.123,0.002
60087.178809999954,11.095,0.050
60087.1793709998,11.111,0.003
60087.179729999974,11.135,0.050
60087.18063999992,11.133,0.050
60087.181189999916,11.138,0.002
60087.18155999994,11.097,0.050
60087.181669999845,11.174,0.042
60087.18246999988,11.09,0.050
60087.18337999983,11.106,0.050
60087.18429999985,11.126,0.050
60087.184901,11.108,0.003
60087.18521999987,11.117,0.050
60087.18612999981,11.111,0.050
60087.18704000022,11.121,0.050
60087.18795999978,11.152,0.050
60087.1888799998,11.121,0.050
60087.18979000021,11.096,0.050
60087.19037499977,11.109,0.003
60087.19070000015,11.116,0.050
60087.191110000014,11.087,0.012
60087.19162000017,11.152,0.050
60087.19253000012,11.108,0.050
60087.19344000006,11.114,0.050
60087.19436000008,11.117,0.050
60087.19466000004,11.107,0.003
60087.195270000026,11.128,0.050
60087.196190000046,11.12,0.050
60087.19709999999,11.112,0.050
60087.19802000001,11.137,0.050
60087.198929999955,11.119,0.050
60087.198938000016,11.106,0.003
60087.199849999975,11.119,0.050
60087.20075999992,11.13,0.050
60087.20167999994,11.092,0.050
60087.20233999984,11.117,0.002
60087.202589999884,11.128,0.050
60087.20328099979,11.103,0.003
60087.203509999905,11.11,0.050
60087.20432000002,11.109,0.009
60087.20441999985,11.093,0.050
60087.20478999987,11.132,0.002
60087.20532999979,11.143,0.050
60087.206249999814,11.127,0.050
60087.207160000224,11.133,0.050
60087.207560999785,11.1,0.003
60087.20807999978,11.118,0.050
60087.20899000019,11.12,0.050
60087.20991000021,11.128,0.050
60087.21082000015,11.095,0.050
60087.2117300001,11.125,0.050
60087.21189799998,11.104,0.003
60087.21265000012,11.107,0.050
60087.21356000006,11.092,0.050
60087.21448000008,11.112,0.050
60087.21539000003,11.118,0.050
60087.21624800004,11.104,0.003
60087.21631000005,11.09,0.050
60087.21721999999,11.087,0.050
60087.21814000001,11.098,0.050
60087.219049999956,11.122,0.050
60087.21996999998,11.111,0.050
60087.22053800011,11.099,0.003
60087.22087999992,11.094,0.050
